(Anonymous) Stat Unit ID	Background (degree)	Expected work sectors	Programming Languages	Hard Worker (0-5)	Ambitious (0-5)	Expected net remuneration (monthly)	Benefits	Team leader or Team player ?	Preferred daily Workload	How many hours do you study daily ?	Enterpreneurial attitude (0-5)	Scalability	Most recent working position	Currently working?	Sex	Age	weight	height	# of siblings	Main Interests	Main hobbies	Play some instruments? Which ones?	Sports	Would you like to maintain a YT channel ?	Dream Works	Priorities in Life	Country	Primary language(s)	Secondary language(s)	Can this be a "representative" sample of larger populations ? If yes, which ones?	Do you think that looking at other answers is influencing your responses? Why?
1933541	Engineering in computer science 	cybersecurity 	C, Python, java, JavaScript, PHP, assembly, C++, Ruby on Rails, (other languages: HTML e CSS, mySQL)	5	4			Team leader	8 hours per day		2	Yes	-		F	22				Cybersecurity 	-	No	-	No	Cybersecurity engineer 	Happiness	Italy	Italian	English 	No	No
1933529	Computer and System Engineering	cybersecurity 	PHP, Java, JavaScript, Python, Ruby on rails, C, C++, assembly, 	5	5			Team leader	6 hours per day		3	Yes	-		M	22				Cybersecurity	Gaming	No	Rugby	No	Cybersecurity engineer	Happiness	Italy	Italian		No	No
31337	Computer Science	cybersecurity 	C, Python, Java, PHP, JS, C#, ...	5	5	2500	Health assurance	Team player	8 hours per day	8	3	Yes	Penetration Tester	Yes	M	22	66	1.73	1	Vulnerability Research	CTFs	No	Krav Maga	Maybe	Vulnerability researcher	Happiness	Italy	Italian	English, French	No	No, this is personal
2111409	Computer Science and Engineering 	cybersecurity 	c, java, angular, html, css	5	5			team leader 	8 hours  per day		3	yes	software developer 		F	23				Cybersecurity 	Crafting 	No	Badminton 	Don't know 	Forensic 	Happiness	India	English	Hindi	No	No
309200	Computer Engineering	Cybersecurity 	C, Java, MySQL	5	5				6 hours per day		3	yes			M	23	96	1.76		Cybersecurity 	Workout 		rugby	no 	Cybersecurity engineer	Health and happines	Italy	Italian, Albanian	English	no	no
1234567	Software and Information Engineering	Cybersecurity 	C,Java, Python, JavaScritp, PHP, SQL, Haskell, assembly, C++, 	5	5			Team player	8 hours per day		4	yes	software developer		M	21	84	1.76		Cybersecurity	Football	Percussion instruments	Football	No	Vulnerability researcher	Happiness	Italy	Italian		yes	no
2150048	Computer Engineering	Cybersecurity 	Java,Python,PHP,SQL...	5	5			Team leader	6 hours per day		3	yes			F	23				Cybersecurity	skiing,roller skating	Piano and Guitar	skiing,roller skating	no	Cybersecurity engineer	Health and happiness	Italy	Italian,English,French,German		No	no
1600	Computer Engineering	Cybersecurity 	C, C++, C#, Javascript, PHP, x86 Assembly, Python, CSS, Typoscript, MySQL	5	5			Team player	6 hours per day		3	Yes	Quality Assurance		M	23	45	1.73		Cybersecurity	Pro gaming	No	-	No	Cybersecurity manager/engineer	Family 	Italy	Italian, English 		No	No
1843916	Computer Science	Cybersecurity 	C++, Java, Python, Assembly, Javascript, MySQL	5	4	2000		Team player	6 hours per day	8	3	Yes	Help desk		M	24	100	1.8		Cybersecurity	Reading	No	-	No	Cybersecurity engineer	Family 	Italy	Italian, English 		Yes, as we are grouped by a common feature; for example we are university students whose studies are related to cybersecurity.	No, as it only stimulates my curiosity.
1811290	Computer Science	Cybersecurity	C, C++, C#, Java, Javascript, Typescript, HTML, Assembly, Python, MySQL	5	4			Team leader	8 hours per day		4		-		M	24				Cybersecurity		No	Football, Handball	No	Own IT Company	Health and happiness	Italy	Italian, French	English, German	Yes	No
1888414	Computer Science	Cybersecurity	C, Java, Python, Assembly, haskell, LM	5	5	2100		Team player	6 hours per day		2	Yes	Software analyst		M	23	63	1.72	2	Cybersecurity	Gaming	Guitar	-	Maybe	Penetration tester (Red Team)	Happiness	Italy	Italian	English	Yes, students	No, this survey is anonymous.
